地域,センター,燃やすゴミ,燃やさないゴミ,資源,容器包装プラスチック類
秀和柏レジデンス管理組合, ,火 金,金1 金3,火1 火3,水
宿連寺町会, ,月 木,月2 月4,木1 木3,水
正連寺町会, ,月 木,月1 月3,水1 水3,水
白鷺町会, ,火 金,金2 金4,月2 月4,水
新青田町会, ,月 木,月1 月3,水1 水3,水
新あかね町会, ,火 金,金2 金4,月2 月4,水
新柏住宅自治会, ,火 金,金2 金4,月2 月4,水
新柏2丁目第1自治会, ,火 金,金2 金4,月2 月4,水
新柏2丁目第2自治会, ,火 金,金2 金4,月2 月4,水
新柏3丁目第1自治会, ,火 金,金2 金4,月2 月4,水
新栄町町会, ,月 木,火1 火3,水2 水4,水
新富町町会, ,月 木,木2 金4,金1 金3,水
新並木町会, ,月 木,火1 火3,水2 水4,水
新屋敷町会, ,月 木,月2 月4,木1 木3,水
新若柴町会, ,月 木,月1 月3,火1 火3,水
末広町会, ,火 金,木2 金4,金1 金3,水
関場町会, ,火 金,金1 金3,火2 火4,水
ソフィア柏町会, ,火 金,火2 火4,金1 金3,水
ソフィア柏グランハースト, ,火 金,金1 金3,月1 月3,水
第1住宅増尾団地自治会, ,火 金,金2 金4,月2 月4,水
高田町会, ,火 金,月1 月3,火1 火3,水
千代田町会, ,火 金,金1 金3,木2 金4,水
千代田橋町会, ,火 金,金1 金3,火1 火3,水
つくしが丘町会, ,月 木,木1 木3,金2 金4,水
土谷津町会, ,月 木,月2 月4,木1 木3,水
つばめ自治会, ,月 木,木2 金4,月1 月3,水
デュオガーデン柏見晴らしの丘自治会, ,火 金,火2 火4,金1 金3,水
デュリエ江戸川台自治会, ,月 木,月1 月3,水1 水3,水
寺山町会, ,月 木,月2 月4,木1 木3,水
東武なかはら団地自治会, ,火 金,金2 金4,月2 月4,水
通1丁目町会, ,火 金,火2 火4,火2 火4,水
常盤台町会, ,火 金,金2 金4,木2 金4,水
利根町会, ,月 木,月2 月4,木1 木3,水
戸張町会, ,火 金,火2 火4,金1 金3,水
富里町会, ,火 金,金1 金3,木2 金4,水
豊上町町会, ,月 木,木2 金4,月1 月3,水
豊四季町会, ,月 木,木2 金4,月1 月3,水
豊四季台団地自治会, ,火 金,火1 火3,月1 月3,水
豊住町会, ,月 木,木1 木3,火2 火4,水
豊原町会, ,月 木,木1 木3,火2 火4,水
十余二緑町町会, ,月 木,月1 月3,水1 水3,水
中新宿町会, ,月 木,木1 木3,火2 火4,水
仲町会（常磐線西口側）, ,火 金,金1 金3,木2 金4,水
仲町会（常磐線東口側）, ,火 金,火2 火4,木2 金4,水
中野台町会, ,月 木,月2 月4,水1 水3,水
中花崎町会, ,月 木,月2 月4,水1 水3,水
中原町会, ,月 木,木1 木3,金2 金4,水
名戸ケ谷町会, ,火 金,金2 金4,月2 月4,水
南部町会, ,月 木,火1 火3,水2 水4,水
西柏台第2町会, ,月 木,月1 月3,水1 水3,水
西柏台明光町会, ,月 木,月1 月3,水1 水3,水
西原町会, ,月 木,月1 月3,水1 水3,水
西原第4町会, ,月 木,月1 月3,水1 水3,水
西原第5町会, ,月 木,月1 月3,水1 水3,水
西原第6町会, ,月 木,月1 月3,水1 水3,水
西町町会, ,火 金,金1 金3,月1 月3,水
西山町会, ,月 木,木1 木3,金2 金4,水
根戸上町会, ,月 木,月2 月4,木1 木3,水
根戸グリーンタウン自治会, ,月 木,月2 月4,木1 木3,水
根戸下町会, ,月 木,月2 月4,木1 木3,水
根戸中町会, ,月 木,月2 月4,木1 木3,水
野沢町会, ,月 木,火1 火3,水2 水4,水
萩の台町会, ,月 木,月1 月3,水1 水3,水
柏南町会, ,月 木,火1 火3,水2 水4,水
柏楽園町会, ,月 木,火1 火3,金2 金4,水
羽黒台町会, ,火 金,火2 火4,金1 金3,水
八幡町会, ,火 金,金1 金3,木2 木4,水
八幡ハイツ自治会, ,火 金,金1 金3,木2 木4,水
花野井町会, ,月 木,月2 月4,水1 水1,水
花山町会, ,月 木,月2 月4,水1 水3,水
葉山町会, ,火 金,火2 火4,金1 金3,水
東柏町会, ,火 金,金1 金3,木2 木4,水
東豊住町会, ,火 金,金2 金4,月2 月4,水
東十余二町会, ,月 木,月1 月3,火1 火3,水
東中新宿町会, ,月 木,木1 木3,金2 金4,水
東花野井町会, ,月 木,月2 月4,水1 水3,水
東山町会, ,月 木,木1 木3,火2 火4,水
光ヶ丘第2エステート町会, ,月 木,木1 木3,火2 火4,水
光ヶ丘団地自治会, ,月 木,木1 木3,火2 火4,水
光ヶ丘中部町会, ,月 木,木1 木3,火2 火4,水
光ヶ丘東部町会, ,月 木,木1 木3,火2 火4,水
日立台町会, ,火 金,金2 金4,月2 月4,水
ひばりが丘町会, ,火 金,金2 金4,木2 木4,水
ビューパレー南柏自治会, ,月 木,火1 火3,水2 水4,水
廣池町会, ,月 木,木1 木3,火2 火4,水
ファミールハイツ逆井自治会, ,月 木,火1 火3,水2 水4,水
フェアフィールド常盤平町会, ,月 木,火1 火3,水2 水4,水
藤心第1町会, ,月 木,火1 火3,水2 水4,水
藤心グリン団地町会, ,月 木,火1 火3,水2 水4,水
藤心第2町会, ,月 木,火1 火3,水2 水4,水
藤心第3町会, ,月 木,火1 火3,水2 水4,水
藤心第4町会, ,月 木,火1 火3,水2 水4,水
藤心葉貫台町会, ,月 木,火1 火3,水2 水4,水
富士見町町会, ,月 木,木2 木4,金1 金3,水
布施新田町会, ,月 木,月2 月4,木1 木3,水
布施新町自治会, ,月 木,月2 月4,木1 木3,水
船戸町会, ,月 木,月1 月3,水1 水3,水
ヴェルデヴィータ柏の杜自治会, ,火 金,金1 金3,木2 木4,水
ベルシェ柏自治会, ,月 木,木2 木4,月1 月3,水
ホームタウン増尾住宅管理組合, ,月 木,木1 木3,金2 金4,水
前原町会, ,月 木,月2 月4,木1 木3,水
増尾町会, ,火 金,金2 金4,月2 月4,水
増尾東映自治会, ,火 金,金2 金4,月2 月4,水
増尾東映第2自治会, ,火 金,金2 金4,月2 月4,水
増尾日立自治会, ,火 金,金2 金4,月2 月4,水
松ヶ丘町会, ,火 金,月1 月3,火1 火3,水
松ヶ崎町会, ,火 金,月2 月4,火1 火3,水
松の井町会, ,月 木,火1 火3,水2 水4,水
松野台自治会, ,火 金,金2 金4,月2 月4,水
松葉町1丁目第1自治会, ,火 金,火2 火4,木1 木3,水
松葉町1丁目第1町会, ,火 金,火2 火4,木1 木3,水
松葉町1丁目第2団地管理組合, ,火 金,火2 火4,木1 木3,水
松葉町1丁目第3団地管理組合, ,火 金,火2 火4,木1 木3,水
松葉町2丁目町会, ,火 金,火2 火4,木1 木3,水
松葉町3丁目町会, ,火 金,火2 火4,木1 木3,水
松葉町4丁目第1町会, ,火 金,火2 火4,木1 木3,水
松葉町4丁目第2町会, ,火 金,火2 火4,木1 木3,水
松葉町5丁目町会, ,火 金,火2 火4,木1 木3,水
松葉町5丁目第1自治会, ,火 金,火2 火4,木1 木3,水
松葉町5丁目第2町会, ,火 金,火2 火4,木1 木3,水
松葉町5丁目第3町会, ,火 金,火2 火4,木1 木3,水
松葉町6丁目町会, ,火 金,火2 火4,木1 木3,水
松葉町7丁目町会, ,火 金,火2 火4,木1 木3,水
マンション・サバーバン, ,火 金,金2 金4,月2 月4,水
三井柏自治会, ,月 木,月2 月4,木1 木3,水
三俣町会, ,月 木,火1 火3,水2 水4,水
ミックスガーデン自治会, ,火 金,月1 月3,火1 火3,水
ミックスガーデン柏の葉自治会, ,火 金,月1 月3,火1 火3,水
緑ヶ丘町会, ,火 金,金1 金3,木2 金4,水
南江戸川台町会, ,月 木,月1 月3,水1 水3,水
南ヶ丘自治会, ,火 金,金2 金4,月2 月4,水
南柏町会, ,月 木,木2 金4,月1 月3,水
南柏第1住宅自治会, ,月 木,木2 金4,金1 金3,水
南逆井協栄町会, ,月 木,火1 火3,水2 水4,水
南増尾町会, ,月 木,火1 火3,水2 水4`,水
宮前町会, ,火 金,火2 火4,木2 金4,水
向原町会, ,火 金,木2 金4,月1 月3,水
向山町会, ,月 木,火1 火3,水2 水4,水
メイツ柏自治会, ,火 金,金1 金3,火1 火3,水
めじろ台町会, ,火 金,月1 月3,火1 火3,水
モアステージ柏自治会, ,月 木,木1 木3,金2 金4,水
元町町会, ,火 金,火2 火4,金1 金3,水
桃山町会, ,火 金,金1 金3,火1 火3,水
八ツ原町会, ,火 金,木2 金4,火1 火3,水
山高野町会, ,月 木,月1 月3,水1 水3,水
弥生町町会, ,火 金,金1 金3,木2 金4,水
豊町東町会, ,火 金,金1 金3,火2 火4,水
豊町西町会, ,火 金,金1 金3,火2 火4,水
吉野町会, ,月 木,木2 金4,月1 月3,水
呼塚町会, ,火 金,火2 火4,金1 金3,水
ライオンズステージ常盤平自治会, ,月 木,火1 火3,金2 金4,水
ＬＭ柏シティ第2管理組合, ,火 金,火2 火4,木2 金4,水
若柴町会, ,月 木,月1 月3,火1 火3,水
若柴入谷津町会, ,月 木,月1 月3,火1 火3,水
わらびヶ丘町会, ,月 木,火1 火3,水2 水4,水
