label,sublabel,description,styles,bgcolor
燃やさないゴミ,,,img/moyasanai02.svg,#FFB230
資源,,,img/shigen02.svg,#77ae1f
燃やすゴミ,,,img/moyasu02.svg,#FF7398
容器包装プラスチック類,,,img/moyasu02.svg,#37B0AE
